,dataset,features version,pipeline,pca_n_componenets,name,adjusted_r2,r2,mae,mape,time,params
0,ShorterThan1.2Kms,inputs count,single step,,KNeighborsRegressor(),0.72144652,0.72220289,80.58876775,33.68414626,26.5586475,"{'n_neighbors': 25, 'weights': 'distance'}"
1,ShorterThan1.2Kms,inputs count,single step,,DecisionTreeRegressor(random_state=5),0.68611485,0.68695256,87.6590389,37.80626243,0.007928699997,"{'criterion': 'mse', 'max_depth': 10}"
2,ShorterThan1.2Kms,inputs count,single step,,MLPRegressor(random_state=5),0.68026414,0.68111532,92.03865453,41.39118557,0.166072,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,ShorterThan1.2Kms,inputs count,single step,1,KNeighborsRegressor(),0.04435498,0.04441286,182.6816793,93.51318631,0.05297620000055758,"{'n_neighbors': 25, 'weights': 'uniform'}"
1,ShorterThan1.2Kms,inputs count,single step,1,DecisionTreeRegressor(random_state=5),0.06009591,0.06015289,183.8360922,94.64377046,0.0007554999974672683,"{'criterion': 'mse', 'max_depth': 5}"
2,ShorterThan1.2Kms,inputs count,single step,1,MLPRegressor(random_state=5),0.03348741,0.03354592,188.3962901,98.12171237,0.04756610000185901,"{'activation': 'logistic', 'hidden_layer_sizes': (100, 50, 25)}"
3,ShorterThan1.2Kms,inputs count,single step,2,KNeighborsRegressor(),0.60270516,0.60275665,102.910285,44.71817811,0.09282379999785917,"{'n_neighbors': 25, 'weights': 'distance'}"
4,ShorterThan1.2Kms,inputs count,single step,2,DecisionTreeRegressor(random_state=5),0.50895932,0.5090216,118.5974937,55.62701406,0.0017564000008860603,"{'criterion': 'mse', 'max_depth': 10}"
5,ShorterThan1.2Kms,inputs count,single step,2,MLPRegressor(random_state=5),0.4857261,0.48579105,123.0222701,54.40533084,0.17247170000337064,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
6,ShorterThan1.2Kms,inputs count,single step,3,KNeighborsRegressor(),0.68565354,0.68571645,89.57550303,37.75560882,0.11404720000427915,"{'n_neighbors': 25, 'weights': 'distance'}"
7,ShorterThan1.2Kms,inputs count,single step,3,DecisionTreeRegressor(random_state=5),0.61398477,0.61406006,104.1593735,46.44961168,0.001629400001547765,"{'criterion': 'mse', 'max_depth': 10}"
8,ShorterThan1.2Kms,inputs count,single step,3,MLPRegressor(random_state=5),0.61773962,0.61781426,108.1938915,49.41761456,0.08243149999907473,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
9,ShorterThan1.2Kms,inputs count,single step,4,KNeighborsRegressor(),0.70240867,0.7024887,86.20504285,35.84827459,0.15674109999963548,"{'n_neighbors': 25, 'weights': 'distance'}"
10,ShorterThan1.2Kms,inputs count,single step,4,DecisionTreeRegressor(random_state=5),0.66157237,0.66166179,94.51049261,41.0600419,0.0017879000006360002,"{'criterion': 'mse', 'max_depth': 10}"
11,ShorterThan1.2Kms,inputs count,single step,4,MLPRegressor(random_state=5),0.66050257,0.66059224,97.98851732,43.56686542,0.08990590000030352,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
12,ShorterThan1.2Kms,inputs count,single step,5,KNeighborsRegressor(),0.71127923,0.7113767,84.23164919,34.43742494,0.14852190000237897,"{'n_neighbors': 20, 'weights': 'distance'}"
13,ShorterThan1.2Kms,inputs count,single step,5,DecisionTreeRegressor(random_state=5),0.66564393,0.66575453,93.49471148,40.59718548,0.0017063999985111877,"{'criterion': 'mse', 'max_depth': 10}"
14,ShorterThan1.2Kms,inputs count,single step,5,MLPRegressor(random_state=5),0.66769002,0.66780003,94.44406772,41.01132878,0.09766640000452753,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
15,ShorterThan1.2Kms,inputs count,single step,6,KNeighborsRegressor(),0.71480863,0.71492437,83.4212519,33.89216261,0.16670560000056867,"{'n_neighbors': 20, 'weights': 'distance'}"
16,ShorterThan1.2Kms,inputs count,single step,6,DecisionTreeRegressor(random_state=5),0.66715443,0.66728664,93.52859011,40.74536892,0.0019358999998075888,"{'criterion': 'mse', 'max_depth': 10}"
17,ShorterThan1.2Kms,inputs count,single step,6,MLPRegressor(random_state=5),0.67452539,0.67465505,94.85411608,41.88388858,0.07558379999682074,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
18,ShorterThan1.2Kms,inputs count,single step,7,KNeighborsRegressor(),0.72012171,0.72025461,82.67170546,33.71134878,0.23600579999765614,"{'n_neighbors': 25, 'weights': 'distance'}"
19,ShorterThan1.2Kms,inputs count,single step,7,DecisionTreeRegressor(random_state=5),0.66552755,0.66568244,93.81087055,41.23038608,0.0022085000018705614,"{'criterion': 'mse', 'max_depth': 10}"
20,ShorterThan1.2Kms,inputs count,single step,7,MLPRegressor(random_state=5),0.67872591,0.67887549,91.50576401,39.23345598,0.09521379999932833,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
21,ShorterThan1.2Kms,inputs count,single step,8,KNeighborsRegressor(),0.72017692,0.72032878,82.64511764,33.68894067,0.2309164000034798,"{'n_neighbors': 25, 'weights': 'distance'}"
22,ShorterThan1.2Kms,inputs count,single step,8,DecisionTreeRegressor(random_state=5),0.67070729,0.67088193,92.62754174,40.29872433,0.001789699999790173,"{'criterion': 'mse', 'max_depth': 10}"
23,ShorterThan1.2Kms,inputs count,single step,8,MLPRegressor(random_state=5),0.67791308,0.6780844,96.71466459,44.26040766,0.0730210999972769,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,ShorterThan1.2Kms,split inputs,single step,,KNeighborsRegressor(),0.73587545,0.73664695,78.97699239,33.01046333,23.7060705,"{'n_neighbors': 20, 'weights': 'uniform'}"
1,ShorterThan1.2Kms,split inputs,single step,,DecisionTreeRegressor(random_state=5),0.69983714,0.70069161,85.90585812,37.05013718,0.0114399,"{'criterion': 'mse', 'max_depth': 10}"
2,ShorterThan1.2Kms,split inputs,single step,,MLPRegressor(random_state=5),0.69386942,0.69473762,90.19788144,40.56336186,0.2434855,"{'activation': 'logistic', 'hidden_layer_sizes': (100, 50)}"
0,ShorterThan1.2Kms,split inputs,single step,1,KNeighborsRegressor(),0.41797346,0.41801104,130.5842639,64.33813886,0.05301589999726275,"{'n_neighbors': 25, 'weights': 'uniform'}"
1,ShorterThan1.2Kms,split inputs,single step,1,DecisionTreeRegressor(random_state=5),0.41521896,0.4152567,132.3305271,66.56009699,0.0007916000031400472,"{'criterion': 'mse', 'max_depth': 5}"
2,ShorterThan1.2Kms,split inputs,single step,1,MLPRegressor(random_state=5),0.27827087,0.27831649,147.1000159,73.87262269,0.046041200002946425,"{'activation': 'logistic', 'hidden_layer_sizes': (100, 50, 25)}"
3,ShorterThan1.2Kms,split inputs,single step,2,KNeighborsRegressor(),0.65545438,0.65550221,94.35067871,40.49924674,0.09285990000353195,"{'n_neighbors': 25, 'weights': 'distance'}"
4,ShorterThan1.2Kms,split inputs,single step,2,DecisionTreeRegressor(random_state=5),0.62525871,0.62531002,99.59708804,43.77082906,0.001564000005600974,"{'criterion': 'mse', 'max_depth': 10}"
5,ShorterThan1.2Kms,split inputs,single step,2,MLPRegressor(random_state=5),0.41645506,0.4165304,133.7739325,67.76672554,0.2132043000019621,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
6,ShorterThan1.2Kms,split inputs,single step,3,KNeighborsRegressor(),0.71201798,0.71207996,84.78807144,35.22186686,0.130271800000628,"{'n_neighbors': 25, 'weights': 'distance'}"
7,ShorterThan1.2Kms,split inputs,single step,3,DecisionTreeRegressor(random_state=5),0.68981271,0.68987853,89.15154282,38.38779107,0.0017758000030880794,"{'criterion': 'mse', 'max_depth': 10}"
