,dataset,features version,pipeline,name,adjusted_r2,r2,mae,mape,time,params
2,mDiffFit,inputs count + split args,single step,MLPRegressor(random_state=5),0.45848001,0.45956409,487.49524237,103.9349446,0.06271329999435693,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,mDiffFit,inputs count + split args,two steps,KNeighborsRegressor(),0.93074784,0.93111146,249.03899068,46.24961402,16.32809749999433,"{'n_neighbors': 25, 'weights': 'distance'}"
1,mDiffFit,inputs count + split args,two steps,DecisionTreeRegressor(random_state=5),0.90364917,0.904097,280.28465714,53.65016322,0.004733600013423711,"{'criterion': 'mse', 'max_depth': 5}"
2,mDiffFit,inputs count + split args,two steps,MLPRegressor(random_state=5),0.7135215,0.71485969,283.70657723,47.43602327,0.07576690000132658,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,mDiffFit,inputs count + split args,two steps clf,KNeighborsRegressor(),0.91301931,0.913376,251.63314683,46.73138083,15.564922699995805,"{'n_neighbors': 20, 'weights': 'distance'}"
1,mDiffFit,inputs count + split args,two steps clf,DecisionTreeRegressor(random_state=5),0.87831322,0.87874849,286.24816048,54.79165605,0.004379299993161112,"{'criterion': 'mse', 'max_depth': 5}"
2,mDiffFit,inputs count + split args,two steps clf,MLPRegressor(random_state=5),0.65643978,0.65767092,303.56603764,50.7565449,0.032563300017500296,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,mDiffFit,split inputs and args,single step,KNeighborsRegressor(),0.89117776,0.89152592,258.76707625,48.05623957,14.758571499987738,"{'n_neighbors': 10, 'weights': 'distance'}"
1,mDiffFit,split inputs and args,single step,DecisionTreeRegressor(random_state=5),0.84905863,0.8494794,297.42972925,56.93195512,0.005059899995103478,"{'criterion': 'mse', 'max_depth': 10}"
2,mDiffFit,split inputs and args,single step,MLPRegressor(random_state=5),0.46093746,0.46202736,486.27650426,103.67510724,0.08138019999023527,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,mDiffFit,split inputs and args,two steps,KNeighborsRegressor(),0.93573665,0.93610221,248.4163932,46.13398999,14.972667699999874,"{'n_neighbors': 25, 'weights': 'distance'}"
1,mDiffFit,split inputs and args,two steps,DecisionTreeRegressor(random_state=5),0.90849273,0.90894296,279.5839455,53.51603781,0.004209099977742881,"{'criterion': 'mse', 'max_depth': 5}"
2,mDiffFit,split inputs and args,two steps,MLPRegressor(random_state=5),0.71637558,0.71771913,283.13916408,47.34115122,0.059162600024137646,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,mDiffFit,split inputs and args,two steps clf,KNeighborsRegressor(),0.91791309,0.91827169,251.00406397,46.61455238,14.889188200002536,"{'n_neighbors': 20, 'weights': 'distance'}"
1,mDiffFit,split inputs and args,two steps clf,DecisionTreeRegressor(random_state=5),0.88302097,0.88345858,285.53254008,54.65467691,0.004966799984686077,"{'criterion': 'mse', 'max_depth': 5}"
2,mDiffFit,split inputs and args,two steps clf,MLPRegressor(random_state=5),0.65906554,0.6603016,302.95890556,50.65503181,0.031493599992245436,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,mBackground,prev,single step,KNeighborsRegressor(),0.91147565,0.91207269,689.17964002,18.41445882,0.7347010999801569,"{'n_neighbors': 10, 'weights': 'distance'}"
1,mBackground,prev,single step,DecisionTreeRegressor(random_state=5),0.88628935,0.88705625,748.02764085,20.41160863,0.0018307999998796731,"{'criterion': 'mse', 'max_depth': 10}"
2,mBackground,prev,single step,MLPRegressor(random_state=5),0.83665629,0.83775794,1040.10515566,43.19703907,0.006786899990402162,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,mBackground,prev,two steps,KNeighborsRegressor(),0.93881992,0.93943487,675.39604722,18.04616965,0.6587827999901492,"{'n_neighbors': 5, 'weights': 'distance'}"
1,mBackground,prev,two steps,DecisionTreeRegressor(random_state=5),0.91287803,0.91366794,725.58681163,19.79926038,0.0014187000051606447,"{'criterion': 'mse', 'max_depth': 5}"
2,mBackground,prev,two steps,MLPRegressor(random_state=5),0.85425127,0.85594914,935.27168414,46.0229493,0.005692800012184307,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,mBackground,prev,two steps clf,KNeighborsRegressor(),0.92661526,0.92722221,685.52698793,18.31686219,0.7665276999759953,"{'n_neighbors': 15, 'weights': 'distance'}"
1,mBackground,prev,two steps clf,DecisionTreeRegressor(random_state=5),0.90101061,0.90179025,736.4706138,20.09624928,0.0017709000094328076,"{'criterion': 'mse', 'max_depth': 5}"
2,mBackground,prev,two steps clf,MLPRegressor(random_state=5),0.84314601,0.8448218,949.3007594,46.71329354,0.007105899974703789,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50)}"
0,mBackground,inputs count,single step,KNeighborsRegressor(),0.93699697,0.93761072,674.01768794,18.00934073,0.7318036999786273,"{'n_neighbors': 5, 'weights': 'distance'}"
1,mBackground,inputs count,single step,DecisionTreeRegressor(random_state=5),0.91110545,0.91189383,731.57103275,19.96255324,0.0018059999856632203,"{'criterion': 'mae', 'max_depth': 10}"
2,mBackground,inputs count,single step,MLPRegressor(random_state=5),0.86593926,0.86707946,1006.82179068,41.81473382,0.006667400011792779,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,mBackground,inputs count,two steps,KNeighborsRegressor(),0.94917793,0.94979966,660.53733418,17.64915391,0.650685100001283,"{'n_neighbors': 5, 'weights': 'distance'}"
1,mBackground,inputs count,two steps,DecisionTreeRegressor(random_state=5),0.92294982,0.92374845,709.62390177,19.36367665,0.001362500013783574,"{'criterion': 'mse', 'max_depth': 5}"
