,dataset,features version,pipeline,name,adjusted_r2,r2,mae,mape,time,params
0,haplotype_caller,inputs count,two steps,KNeighborsRegressor(),0.37936067,0.39030096,5952.66170435,11.63607143,0.2989399000070989,"{'n_neighbors': 5, 'weights': 'distance'}"
1,haplotype_caller,inputs count,two steps,DecisionTreeRegressor(random_state=5),0.40055574,0.41147652,5775.97961214,11.3521699,0.0014810000138822943,"{'criterion': 'mae', 'max_depth': 15}"
2,haplotype_caller,inputs count,two steps,MLPRegressor(random_state=5),0.34717276,0.35896439,5966.75002279,11.58219834,0.0034592999727465212,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,haplotype_caller,inputs count,two steps clf,KNeighborsRegressor(),0.36797985,0.37859193,6101.47824696,11.92697322,0.29504689999157563,"{'n_neighbors': 15, 'weights': 'uniform'}"
1,haplotype_caller,inputs count,two steps clf,DecisionTreeRegressor(random_state=5),0.38853906,0.39913223,5920.37910245,11.63597415,0.0016256000089924783,"{'criterion': 'mse', 'max_depth': 5}"
2,haplotype_caller,inputs count,two steps clf,MLPRegressor(random_state=5),0.33675757,0.34819546,6115.91877336,11.8717533,0.0036795000196434557,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,haplotype_caller,split inputs,single step,KNeighborsRegressor(),0.36321075,0.37368529,6197.58893072,12.11484729,0.26403239998035133,"{'n_neighbors': 20, 'weights': 'uniform'}"
1,haplotype_caller,split inputs,single step,DecisionTreeRegressor(random_state=5),0.37633522,0.38659565,6141.58683227,12.0707381,0.0016300000133924186,"{'criterion': 'mse', 'max_depth': 5}"
2,haplotype_caller,split inputs,single step,MLPRegressor(random_state=5),0.32618016,0.33725879,6344.43260402,12.31532685,0.004411300003994256,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,haplotype_caller,split inputs,two steps,KNeighborsRegressor(),0.38137129,0.39236955,5949.6853735,11.6302534,0.2958830000134185,"{'n_neighbors': 20, 'weights': 'uniform'}"
1,haplotype_caller,split inputs,two steps,DecisionTreeRegressor(random_state=5),0.40267868,0.41365735,5773.09162234,11.34649381,0.002126400009728968,"{'criterion': 'mae', 'max_depth': 15}"
2,haplotype_caller,split inputs,two steps,MLPRegressor(random_state=5),0.34901277,0.3608669,5963.76664778,11.57640724,0.004788699996424839,"{'activation': 'relu', 'hidden_layer_sizes': (100,)}"
0,haplotype_caller,split inputs,two steps clf,KNeighborsRegressor(),0.36993015,0.38059847,6098.42750783,11.92100973,0.26963760002399795,"{'n_neighbors': 20, 'weights': 'uniform'}"
1,haplotype_caller,split inputs,two steps clf,DecisionTreeRegressor(random_state=5),0.39059832,0.40124763,5917.41891289,11.63015616,0.0019523000228218734,"{'criterion': 'mse', 'max_depth': 5}"
2,haplotype_caller,split inputs,two steps clf,MLPRegressor(random_state=5),0.33854239,0.35004089,6112.86081397,11.86581742,0.004899099993053824,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,haplotype_caller,inputs count + split args,single step,KNeighborsRegressor(),0.34412105,0.3558905,6237.19988039,12.24254349,0.30070699998759665,"{'n_neighbors': 25, 'weights': 'distance'}"
1,haplotype_caller,inputs count + split args,single step,DecisionTreeRegressor(random_state=5),0.8289436,0.83201313,2528.93547813,4.85513339,0.0015091999957803637,"{'criterion': 'mse', 'max_depth': 10}"
2,haplotype_caller,inputs count + split args,single step,MLPRegressor(random_state=5),0.32950222,0.34153399,6293.74184189,12.24218437,0.003714199992828071,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,haplotype_caller,inputs count + split args,two steps,KNeighborsRegressor(),0.36132711,0.37368502,5987.71188517,11.75284175,0.30028259998653084,"{'n_neighbors': 5, 'weights': 'distance'}"
1,haplotype_caller,inputs count + split args,two steps,DecisionTreeRegressor(random_state=5),0.85381191,0.85697353,2453.06741378,4.70947938,0.0015459000132977962,"{'criterion': 'mae', 'max_depth': 25}"
2,haplotype_caller,inputs count + split args,two steps,MLPRegressor(random_state=5),0.35256738,0.36544137,5916.11733137,11.50765331,0.005534900003112853,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,haplotype_caller,inputs count + split args,two steps clf,KNeighborsRegressor(),0.35048729,0.36247447,6137.4046823,12.0466628,0.28884199997992255,"{'n_neighbors': 10, 'weights': 'distance'}"
1,haplotype_caller,inputs count + split args,two steps clf,DecisionTreeRegressor(random_state=5),0.84271236,0.84583287,2455.5204812,4.71418886,0.0016906999808270484,"{'criterion': 'mae', 'max_depth': 10}"
2,haplotype_caller,inputs count + split args,two steps clf,MLPRegressor(random_state=5),0.34199036,0.35447813,6064.02026466,11.79534464,0.0037382000009529293,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,haplotype_caller,split inputs and args,single step,KNeighborsRegressor(),0.34412105,0.3558905,6237.19988039,12.24254349,0.3016628000186756,"{'n_neighbors': 25, 'weights': 'distance'}"
1,haplotype_caller,split inputs and args,single step,DecisionTreeRegressor(random_state=5),0.8289436,0.83201313,2528.93547813,4.85513339,0.0014832000015303493,"{'criterion': 'mse', 'max_depth': 10}"
2,haplotype_caller,split inputs and args,single step,MLPRegressor(random_state=5),0.32950222,0.34153399,6293.74184189,12.24218437,0.0034644000115804374,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,haplotype_caller,split inputs and args,two steps,KNeighborsRegressor(),0.36132711,0.37368502,5987.71188517,11.75284175,0.30745069999829866,"{'n_neighbors': 5, 'weights': 'distance'}"
1,haplotype_caller,split inputs and args,two steps,DecisionTreeRegressor(random_state=5),0.85381191,0.85697353,2453.06741378,4.70947938,0.001505599997472018,"{'criterion': 'mae', 'max_depth': 25}"
2,haplotype_caller,split inputs and args,two steps,MLPRegressor(random_state=5),0.35256738,0.36544137,5916.11733137,11.50765331,0.0036798000219278038,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,haplotype_caller,split inputs and args,two steps clf,KNeighborsRegressor(),0.35048729,0.36247447,6137.4046823,12.0466628,0.29781780001940206,"{'n_neighbors': 10, 'weights': 'distance'}"
1,haplotype_caller,split inputs and args,two steps clf,DecisionTreeRegressor(random_state=5),0.84271236,0.84583287,2455.5204812,4.71418886,0.0019797999993897974,"{'criterion': 'mae', 'max_depth': 10}"
2,haplotype_caller,split inputs and args,two steps clf,MLPRegressor(random_state=5),0.34199036,0.35447813,6064.02026466,11.79534464,0.003775399993173778,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,mProjectPP,prev,single step,KNeighborsRegressor(),0.71898642,0.72545476,85.39382831,10.09971527,0.12257799998042174,"{'n_neighbors': 5, 'weights': 'distance'}"
1,mProjectPP,prev,single step,DecisionTreeRegressor(random_state=5),0.63895963,0.64727002,92.02725724,10.99149023,0.0014374000020325184,"{'criterion': 'mae', 'max_depth': 15}"
2,mProjectPP,prev,single step,MLPRegressor(random_state=5),0.46859833,0.48083008,107.56134193,12.35205781,0.0024616000009700656,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,mProjectPP,prev,two steps,KNeighborsRegressor(),0.75493574,0.7617275,81.97807517,9.69572666,0.13810330000706017,"{'n_neighbors': 10, 'weights': 'distance'}"
1,mProjectPP,prev,two steps,DecisionTreeRegressor(random_state=5),0.68368681,0.69257893,86.50562181,10.33200081,0.001344999996945262,"{'criterion': 'mae', 'max_depth': 10}"
2,mProjectPP,prev,two steps,MLPRegressor(random_state=5),0.53318187,0.55029456,103.70381195,12.22398404,0.002592400007415563,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,mProjectPP,prev,two steps clf,KNeighborsRegressor(),0.74055601,0.74721841,82.83201346,9.79672381,0.13689329999033362,"{'n_neighbors': 10, 'weights': 'distance'}"
1,mProjectPP,prev,two steps clf,DecisionTreeRegressor(random_state=5),0.66451802,0.67316082,88.34616695,10.55183062,0.0014986000023782253,"{'criterion': 'mae', 'max_depth': 10}"
2,mProjectPP,prev,two steps clf,MLPRegressor(random_state=5),0.47986369,0.4952651,113.03715503,13.3241426,0.0030067000188864768,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,mProjectPP,inputs count,single step,KNeighborsRegressor(),0.75493574,0.7617275,81.97807517,9.69572666,0.14593840000452474,"{'n_neighbors': 5, 'weights': 'distance'}"
1,mProjectPP,inputs count,single step,DecisionTreeRegressor(random_state=5),0.67090761,0.67963352,88.34616695,10.55183062,0.0013814999838359654,"{'criterion': 'mae', 'max_depth': 10}"
2,mProjectPP,inputs count,single step,MLPRegressor(random_state=5),0.49202825,0.50487159,103.25888826,11.8579755,0.0027123999898321927,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,mProjectPP,inputs count,two steps,KNeighborsRegressor(),0.79268253,0.79981388,78.69895217,9.30789759,0.1440252999891527,"{'n_neighbors': 5, 'weights': 'distance'}"
1,mProjectPP,inputs count,two steps,DecisionTreeRegressor(random_state=5),0.71787115,0.72720787,83.04539693,9.91872078,0.0013794000260531902,"{'criterion': 'mae', 'max_depth': 10}"
2,mProjectPP,inputs count,two steps,MLPRegressor(random_state=5),0.57050461,0.58881518,95.407507,11.24606532,0.0027031000063288957,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,mProjectPP,inputs count,two steps clf,KNeighborsRegressor(),0.77758381,0.78457933,79.51873292,9.40485486,0.16082280001137406,"{'n_neighbors': 5, 'weights': 'distance'}"
1,mProjectPP,inputs count,two steps clf,DecisionTreeRegressor(random_state=5),0.69774392,0.70681887,84.81232027,10.12975739,0.0014954999787732959,"{'criterion': 'mae', 'max_depth': 10}"
2,mProjectPP,inputs count,two steps clf,MLPRegressor(random_state=5),0.52486424,0.54170996,102.08603249,12.03328989,0.004538499983027577,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,mProjectPP,split inputs,single step,KNeighborsRegressor(),0.7589822,0.76581036,81.77312999,9.67148734,0.14209979999577627,"{'n_neighbors': 25, 'weights': 'uniform'}"
1,mProjectPP,split inputs,single step,DecisionTreeRegressor(random_state=5),0.67450368,0.68327636,88.12530153,10.52545104,0.0017413999885320663,"{'criterion': 'mse', 'max_depth': 15}"
2,mProjectPP,split inputs,single step,MLPRegressor(random_state=5),0.49466552,0.5075777,103.00074104,11.82833056,0.004268399992724881,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50)}"
0,mProjectPP,split inputs,two steps,KNeighborsRegressor(),0.79693131,0.80410088,78.50220479,9.28462785,0.13675979999243282,"{'n_neighbors': 25, 'weights': 'uniform'}"
1,mProjectPP,split inputs,two steps,DecisionTreeRegressor(random_state=5),0.72171894,0.73110571,82.83778344,9.89392398,0.0016242999990936369,"{'criterion': 'mae', 'max_depth': 10}"
2,mProjectPP,split inputs,two steps,MLPRegressor(random_state=5),0.61043993,0.63003224,87.77490644,10.34638009,0.004518500005360693,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50)}"
0,mProjectPP,split inputs,two steps clf,KNeighborsRegressor(),0.78175166,0.78878467,79.31993609,9.38134272,0.12720139999873936,"{'n_neighbors': 25, 'weights': 'uniform'}"
1,mProjectPP,split inputs,two steps clf,DecisionTreeRegressor(random_state=5),0.70148383,0.71060742,84.60028947,10.104433,0.0017253000114578754,"{'criterion': 'mae', 'max_depth': 10}"
2,mProjectPP,split inputs,two steps clf,MLPRegressor(random_state=5),0.56160473,0.57962966,93.91914989,11.0706267,0.004694000002928078,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50)}"
0,mProjectPP,inputs count + split args,single step,KNeighborsRegressor(),0.78175166,0.78878467,80.13766739,9.47805759,0.12877280000247993,"{'n_neighbors': 10, 'weights': 'distance'}"
1,mProjectPP,inputs count + split args,single step,DecisionTreeRegressor(random_state=5),0.69473879,0.70377465,86.3627955,10.31494202,0.0011653999972622842,"{'criterion': 'mse', 'max_depth': 10}"
2,mProjectPP,inputs count + split args,single step,MLPRegressor(random_state=5),0.50950549,0.52280503,100.94072622,11.59176395,0.002802900009555742,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,mProjectPP,inputs count + split args,two steps,KNeighborsRegressor(),0.82083925,0.8282239,76.93216069,9.09893529,0.12911099998746067,"{'n_neighbors': 5, 'weights': 'distance'}"
1,mProjectPP,inputs count + split args,two steps,DecisionTreeRegressor(random_state=5),0.7433705,0.75303888,81.18102777,9.6960455,0.0014916000072844326,"{'criterion': 'mae', 'max_depth': 10}"
2,mProjectPP,inputs count + split args,two steps,MLPRegressor(random_state=5),0.62875313,0.64893321,85.58053378,10.08772059,0.004223399999318644,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,mProjectPP,inputs count + split args,two steps clf,KNeighborsRegressor(),0.80520421,0.81244821,77.73353736,9.19371586,0.13146090001100674,"{'n_neighbors': 10, 'weights': 'distance'}"
1,mProjectPP,inputs count + split args,two steps clf,DecisionTreeRegressor(random_state=5),0.72252834,0.73192564,82.90828368,9.90234434,0.00150529999518767,"{'criterion': 'mae', 'max_depth': 10}"
2,mProjectPP,inputs count + split args,two steps clf,MLPRegressor(random_state=5),0.57845288,0.59701855,91.57117114,10.79386103,0.0038653000083286315,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,mProjectPP,split inputs and args,single step,KNeighborsRegressor(),0.78594185,0.79301256,79.93732322,9.45436245,0.13590739999199286,"{'n_neighbors': 10, 'weights': 'distance'}"
1,mProjectPP,split inputs and args,single step,DecisionTreeRegressor(random_state=5),0.69846259,0.70754688,86.14688851,10.28915467,0.001503700012108311,"{'criterion': 'mae', 'max_depth': 10}"
2,mProjectPP,split inputs and args,single step,MLPRegressor(random_state=5),0.51223644,0.52560727,100.6883744,11.56278454,0.0027717000048141927,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,mProjectPP,split inputs and args,two steps,KNeighborsRegressor(),0.82523894,0.83266318,76.73983029,9.07618795,0.1406149000104051,"{'n_neighbors': 5, 'weights': 'distance'}"
1,mProjectPP,split inputs and args,two steps,DecisionTreeRegressor(random_state=5),0.74735497,0.75707517,80.9780752,9.67180539,0.0013892999850213528,"{'criterion': 'mae', 'max_depth': 10}"
2,mProjectPP,split inputs and args,two steps,MLPRegressor(random_state=5),0.63126814,0.65152894,85.40937271,10.06754515,0.004160799988312647,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,mProjectPP,split inputs and args,two steps clf,KNeighborsRegressor(),0.80952011,0.81680293,77.53920352,9.17073157,0.13107460000901483,"{'n_neighbors': 25, 'weights': 'distance'}"
1,mProjectPP,split inputs and args,two steps clf,DecisionTreeRegressor(random_state=5),0.72640109,0.73584876,82.70101297,9.87758848,0.0015402999997604638,"{'criterion': 'mae', 'max_depth': 10}"
2,mProjectPP,split inputs and args,two steps clf,MLPRegressor(random_state=5),0.58076669,0.59940663,91.3880288,10.77227331,0.00278100001742132,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,genotype_gvcfs,prev,single step,KNeighborsRegressor(),0.94032282,0.94642841,15107.17393707,12.27495399,0.008831700019072741,"{'n_neighbors': 5, 'weights': 'distance'}"
1,genotype_gvcfs,prev,single step,DecisionTreeRegressor(random_state=5),0.93495633,0.94161097,15570.65460526,12.5964001,0.0010720000136643648,"{'criterion': 'mae', 'max_depth': 5}"
2,genotype_gvcfs,prev,single step,MLPRegressor(random_state=5),0.70046714,0.73111241,43270.20591946,66.56559111,0.001770899980328977,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,genotype_gvcfs,prev,two steps,KNeighborsRegressor(),0.95912928,0.96535698,14805.03045832,12.02945491,0.012222599994856864,"{'n_neighbors': 5, 'weights': 'distance'}"
1,genotype_gvcfs,prev,two steps,DecisionTreeRegressor(random_state=5),0.95365546,0.96044318,15259.24151316,12.3444721,0.0009342000121250749,"{'criterion': 'mse', 'max_depth': 15}"
2,genotype_gvcfs,prev,two steps,MLPRegressor(random_state=5),0.88013092,0.89872447,22654.74059198,23.54742432,0.0018487999914214015,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,genotype_gvcfs,prev,two steps clf,KNeighborsRegressor(),0.93402304,0.94425709,16220.63151631,14.04601592,0.010190800006967038,"{'n_neighbors': 5, 'weights': 'distance'}"
1,genotype_gvcfs,prev,two steps clf,DecisionTreeRegressor(random_state=5),0.91182796,0.92550481,17696.81085526,14.11326326,0.0013132999883964658,"{'criterion': 'mae', 'max_depth': 15}"
2,genotype_gvcfs,prev,two steps clf,MLPRegressor(random_state=5),0.88013092,0.89872447,22654.74059198,23.54742432,0.0029814000008627772,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,genotype_gvcfs,inputs count,single step,KNeighborsRegressor(),0.94213264,0.94824405,15128.92499046,12.09808813,0.012795700022252277,"{'n_neighbors': 5, 'weights': 'distance'}"
1,genotype_gvcfs,inputs count,single step,DecisionTreeRegressor(random_state=5),0.93369535,0.94069782,15795.65625,12.68985193,0.0010379999876022339,"{'criterion': 'mae', 'max_depth': 5}"
2,genotype_gvcfs,inputs count,single step,MLPRegressor(random_state=5),0.91952444,0.92802351,20405.62447507,27.27469674,0.001930700003867969,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,genotype_gvcfs,inputs count,two steps,KNeighborsRegressor(),0.9609753,0.96720893,14826.34649065,11.85612637,0.00919039998552762,"{'n_neighbors': 5, 'weights': 'distance'}"
1,genotype_gvcfs,inputs count,two steps,DecisionTreeRegressor(random_state=5),0.95236926,0.95951178,15479.743125,12.43605489,0.0009426000178791583,"{'criterion': 'mse', 'max_depth': 10}"
2,genotype_gvcfs,inputs count,two steps,MLPRegressor(random_state=5),0.92871968,0.93730374,20201.56823032,27.00194977,0.001816300005884841,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,genotype_gvcfs,inputs count,two steps clf,KNeighborsRegressor(),0.93801985,0.94783849,15716.21960304,13.39415993,0.010288700024830177,"{'n_neighbors': 5, 'weights': 'distance'}"
1,genotype_gvcfs,inputs count,two steps clf,DecisionTreeRegressor(random_state=5),0.91770187,0.9307392,17027.35197368,13.73967564,0.0012713000178337097,"{'criterion': 'mae', 'max_depth': 25}"
2,genotype_gvcfs,inputs count,two steps clf,MLPRegressor(random_state=5),0.88870775,0.90633821,21428.84300451,21.32645417,0.003293299989309162,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,genotype_gvcfs,split inputs,single step,KNeighborsRegressor(),0.91201774,0.92943997,18250.07539757,15.53490327,0.011464299983344972,"{'n_neighbors': 20, 'weights': 'distance'}"
1,genotype_gvcfs,split inputs,single step,DecisionTreeRegressor(random_state=5),0.92605531,0.94069782,15795.65625,12.68985193,0.0012245000107213855,"{'criterion': 'mae', 'max_depth': 5}"
2,genotype_gvcfs,split inputs,single step,MLPRegressor(random_state=5),0.90757062,0.9159592,20609.68071982,27.54744371,0.004079199978150427,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50)}"
0,genotype_gvcfs,split inputs,two steps,KNeighborsRegressor(),0.93025809,0.94802877,17885.07388962,15.22420521,0.013179500005207956,"{'n_neighbors': 20, 'weights': 'distance'}"
1,genotype_gvcfs,split inputs,two steps,DecisionTreeRegressor(random_state=5),0.94457641,0.95951178,15479.743125,12.43605489,0.0011283999774605036,"{'criterion': 'mse', 'max_depth': 10}"
2,genotype_gvcfs,split inputs,two steps,MLPRegressor(random_state=5),0.91664633,0.92511879,20403.58391262,27.27196927,0.0030297000193968415,"{'activation': 'relu', 'hidden_layer_sizes': (100,)}"
0,genotype_gvcfs,split inputs,two steps clf,KNeighborsRegressor(),0.90581634,0.92943997,18250.07539757,15.53490327,0.009244699991540983,"{'n_neighbors': 20, 'weights': 'distance'}"
1,genotype_gvcfs,split inputs,two steps clf,DecisionTreeRegressor(random_state=5),0.8822369,0.91177484,21778.66447368,25.51611181,0.0012076999992132187,"{'criterion': 'mse', 'max_depth': 25}"
2,genotype_gvcfs,split inputs,two steps clf,MLPRegressor(random_state=5),0.87715455,0.89455581,21643.13143456,21.53971871,0.002009799994993955,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50)}"
0,genotype_gvcfs,inputs count + split args,single step,KNeighborsRegressor(),0.92187137,0.93063828,19531.99213538,23.01383005,0.013433500018436462,"{'n_neighbors': 5, 'weights': 'distance'}"
1,genotype_gvcfs,inputs count + split args,single step,DecisionTreeRegressor(random_state=5),0.94700493,0.95295157,14624.93780838,12.11544194,0.0009339000098407269,"{'criterion': 'mse', 'max_depth': 5}"
2,genotype_gvcfs,inputs count + split args,single step,MLPRegressor(random_state=5),0.91392361,0.92237091,20589.0710391,27.51989626,0.001801200007321313,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,genotype_gvcfs,inputs count + split args,two steps,KNeighborsRegressor(),0.9403088,0.94925104,19141.35229267,22.55355345,0.01222609999240376,"{'n_neighbors': 5, 'weights': 'distance'}"
1,genotype_gvcfs,inputs count + split args,two steps,DecisionTreeRegressor(random_state=5),0.96594502,0.9720106,14332.43905221,11.8731331,0.0010474000009708107,"{'criterion': 'mse', 'max_depth': 10}"
2,genotype_gvcfs,inputs count + split args,two steps,MLPRegressor(random_state=5),0.92306285,0.93159462,20383.18032871,27.2446973,0.00250239999149926,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,genotype_gvcfs,inputs count + split args,two steps clf,KNeighborsRegressor(),0.89749573,0.91441063,20624.45054826,20.62572275,0.014631100028054789,"{'n_neighbors': 5, 'weights': 'distance'}"
1,genotype_gvcfs,inputs count + split args,two steps clf,DecisionTreeRegressor(random_state=5),0.944367,0.95354736,14719.28937257,12.82810334,0.0009978000016417354,"{'criterion': 'mse', 'max_depth': 5}"
2,genotype_gvcfs,inputs count + split args,two steps clf,MLPRegressor(random_state=5),0.87917499,0.89911311,23298.55126719,24.96206817,0.001878400013083592,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,genotype_gvcfs,split inputs and args,single step,KNeighborsRegressor(),0.92888818,0.93733711,17870.52841569,20.00159939,0.012193399976240471,"{'n_neighbors': 5, 'weights': 'distance'}"
1,genotype_gvcfs,split inputs and args,single step,DecisionTreeRegressor(random_state=5),0.94793538,0.95412128,14346.60855263,12.10627806,0.0012298999936319888,"{'criterion': 'mae', 'max_depth': 5}"
2,genotype_gvcfs,split inputs and args,single step,MLPRegressor(random_state=5),0.92299352,0.9321428,19557.07035418,24.99390758,0.002968999993754551,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,genotype_gvcfs,split inputs and args,two steps,KNeighborsRegressor(),0.94746594,0.95608385,17513.11784738,19.6015674,0.010655099991708994,"{'n_neighbors': 5, 'weights': 'distance'}"
1,genotype_gvcfs,split inputs and args,two steps,DecisionTreeRegressor(random_state=5),0.96689409,0.9732037,14059.67638158,11.8641525,0.0010191999899689108,"{'criterion': 'mse', 'max_depth': 25}"
2,genotype_gvcfs,split inputs and args,two steps,MLPRegressor(random_state=5),0.93222345,0.94146423,19361.49965064,24.74396851,0.0029471000016201288,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,genotype_gvcfs,split inputs and args,two steps clf,KNeighborsRegressor(),0.92893147,0.94112805,16945.38134248,16.51801225,0.010403599997516721,"{'n_neighbors': 5, 'weights': 'distance'}"
1,genotype_gvcfs,split inputs and args,two steps clf,DecisionTreeRegressor(random_state=5),0.94530296,0.95468991,14512.07868294,12.79846822,0.0010227999882772565,"{'criterion': 'mse', 'max_depth': 5}"
2,genotype_gvcfs,split inputs and args,two steps clf,MLPRegressor(random_state=5),0.90872567,0.92438991,19693.08626248,20.91356545,0.0019385000050533563,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
